movie_name,rating,language,year,label_lang_rating,USER RATING
Dick Tracy,PG,English,1990,English - Family,6.2
Heidi's Song,G,English,1982,English - Family,6.2
Hello Down There,G,English,1969,English - Family,5.7
Johnny English Strikes Again,PG,English,2018,English - Family,6.2
New in Town,PG,English,2009,English - Family,5.7
The BFG,PG,English,2016,English - Family,6.3
Freaky Friday,PG,English,2003,English - Family,6.3
Captain Underpants: The First Epic Movie,PG,English,2017,English - Family,6.2
Johnny English Reborn,PG,English,2011,English - Family,Not found
Hidden Figures,PG,English,2016,English - Family,Not found
Old Dogs,PG,English,2009,English - Family,5.3
The Spiderwick Chronicles,PG,English,2008,English - Family,Not found
Son of Bigfoot,PG,English,2017,English - Family,6.1
The Fighting Preacher,PG,English,2019,English - Family,6.1
Inkheart,PG,English,2008,English - Family,6.1
Daddy Day Care,PG,English,2003,English - Family,5.7
Trolls World Tour,PG,English,2020,English - Family,6.1
Octopussy,PG,English,1983,English - Family,Not found
High Noon,PG,English,1952,English - Family,Not found
Never Say Never Again,PG,English,1983,English - Family,6.1
The Tale of Despereaux,G,English,2008,English - Family,6.1
Midway to Heaven,PG,English,2011,English - Family,6.1
Wicked,PG,English,2024,English - Family,Not found
The Legend of Zorro,PG,English,2005,English - Family,Not found
Maxie,PG,English,1985,English - Family,Not found
Despicable Me 4,PG,English,2024,English - Family,6.2
Speed Racer,PG,English,2008,English - Family,6.1
Shark Tale,PG,English,2004,English - Family,Not found
Mee-Shee: The Water Giant,PG,English,2005,English - Family,5.3
Strange World,PG,English,2022,English - Family,5.7
Beauty and the Beast,G,English,1991,English - Family,Not found
Table for Five,PG,English,1983,English - Family,6.1
Amadeus,PG,English,1984,English - Family,Not found
Jimmy Neutron: Boy Genius,G,English,2001,English - Family,6.1
The Wizard,PG,English,1989,English - Family,6.1
It Could Happen to You,PG,English,1994,English - Family,6.1
Lawrence of Arabia,PG,English,1962,English - Family,Not found
Sky Captain and the World of Tomorrow,PG,English,2004,English - Family,6.1
Frozen,PG,English,2013,English - Family,6.1
Ice Age: Collision Course,PG,English,2016,English - Family,5.7
Any Which Way You Can,PG,English,1980,English - Family,6.1
Johnny English,PG,English,2003,English - Family,Not found
Nine Lives,PG,English,2016,English - Family,5.4
Timerider: The Adventure of Lyle Swann,PG,English,1982,English - Family,Not found
Star Trek: Generations,PG,English,1994,English - Family,6.6
Back to the Future Part II,PG,English,1989,English - Family,Not found
Gone with the Wind,G,English,1939,English - Family,Not found
Galaxy Quest,PG,English,1999,English - Family,Not found
Big Hero 6,PG,English,2014,English - Family,Not found
A View to a Kill,PG,English,1985,English - Family,Not found
The Lego Movie,PG,English,2014,English - Family,Not found
Contact,PG,English,1997,English - Family,Not found
Star Wars: Episode I - The Phantom Menace,PG,English,1999,English - Family,Not found
The Brotherhood of Satan,PG,English,1971,English - Family,Not found
Casablanca,PG,English,1942,English - Family,Not found
Ghostbusters,PG,English,1984,English - Family,Not found
Cloudy with a Chance of Meatballs,PG,English,2009,English - Family,Not found
Tron: Legacy,PG,English,2010,English - Family,Not found
It Had to Be You,PG,English,2000,English - Family,Not found
The Turning Point,PG,English,1977,English - Family,Not found
Star Wars: Episode V - The Empire Strikes Back,PG,English,1980,English - Family,Not found
Chasing Papi,PG,English,2003,English - Family,Not found
Ben-Hur,G,English,1959,English - Family,Not found
Damnation Alley,PG,English,1977,English - Family,Not found
Barry Lyndon,PG,English,1975,English - Family,Not found
The Living Daylights,PG,English,1987,English - Family,Not found
Little Women,PG,English,2019,English - Family,Not found
The Hunt for Red October,PG,English,1990,English - Family,Not found
Sixteen Candles,PG,English,1984,English - Family,Not found
Diamonds Are Forever,PG,English,1971,English - Family,Not found
