movie_id,movie_name,genre
tt0081633,Time Bandits,"Adventure, Comedy, Fantasy"
tt0100758,Teenage Mutant Ninja Turtles,"Action, Adventure, Comedy"
tt1386703,Total Recall,"Action, Adventure, Sci-Fi"
tt1731141,Ender's Game,"Action, Adventure, Sci-Fi"
tt0298814,The Core,"Action, Adventure, Sci-Fi"
tt1343727,Dredd,"Action, Crime, Sci-Fi"
tt0118583,Alien: Resurrection,"Action, Horror, Sci-Fi"
tt2908446,The Divergent Series: Insurgent,"Action, Adventure, Sci-Fi"
tt3554046,Space Jam: A New Legacy,"Animation, Adventure, Comedy"
tt1133985,Green Lantern,"Action, Adventure, Sci-Fi"
tt0892782,Monsters vs. Aliens,"Animation, Action, Adventure"
tt14900738,Meet Cute,"Comedy, Drama, Fantasy"
tt0114898,Waterworld,"Action, Adventure, Sci-Fi"
tt4695012,It Comes at Night,"Drama, Horror, Mystery"
tt5848272,Ralph Breaks the Internet,"Animation, Adventure, Comedy"
tt0117705,Space Jam,"Animation, Adventure, Comedy"
tt0433035,Real Steel,"Action, Drama, Sci-Fi"
tt0117218,The Nutty Professor,"Comedy, Romance, Sci-Fi"
tt0790736,R.I.P.D.,"Action, Adventure, Comedy"
tt0399201,The Island,"Action, Sci-Fi, Thriller"
tt0438488,Terminator Salvation,"Action, Adventure, Sci-Fi"
tt2094766,Assassin's Creed,"Action, Adventure, Sci-Fi"
tt0286716,Hulk,"Action, Sci-Fi"
tt2884206,I Origins,"Drama, Mystery, Romance"
tt3410834,Allegiant,"Action, Adventure, Mystery"
tt1318514,Rise of the Planet of the Apes,"Action, Drama, Sci-Fi"
tt0489099,Jumper,"Action, Adventure, Sci-Fi"
tt3741700,Godzilla: King of the Monsters,"Action, Adventure, Fantasy"
tt2076822,Chaos Walking,"Action, Adventure, Fantasy"
tt0376994,X-Men: The Last Stand,"Action, Adventure, Sci-Fi"
tt5104604,Isle of Dogs,"Animation, Adventure, Comedy"
tt0100403,Predator 2,"Action, Horror, Sci-Fi"
tt0163025,Jurassic Park III,"Action, Adventure, Sci-Fi"
tt1385826,The Adjustment Bureau,"Romance, Sci-Fi, Thriller"
tt4116284,The Lego Batman Movie,"Animation, Action, Adventure"
tt0089907,The Return of the Living Dead,"Comedy, Horror, Sci-Fi"
tt1289401,Ghostbusters: Answer the Call,"Action, Comedy, Fantasy"
